ID,Dut,Pad,CX,CY
1,1,2,-49451.7,78598.4
2,1,3,-49517.3,78595.8
3,1,5,-49660.3,78596.9
4,1,7,-49797.4,78595
5,1,9,-49939.5,78595.3
6,1,11,-50078.2,78597.3
7,1,13,-50216,78596.2
8,1,15,-50359.9,78594.8
9,1,16,-50426.4,78596.6
10,1,17,-50498,78593.1
11,1,18,-50567.7,78597.7
12,1,20,-50709.9,78596.2
13,1,22,-50845.7,78596.1
14,1,24,-50986.7,78594.8
15,1,26,-51129.1,78596.6
16,1,27,-51197.9,78597.4
17,1,28,-51356.4,78597.7
18,1,29,-51428.4,78598
19,1,30,-51497.4,78594.9
20,1,31,-51569,78596
21,1,32,-51636.3,78597.1
22,1,33,-51704.8,78595.7
23,1,34,-51777.2,78595.1
24,1,35,-51849.7,78595.1
25,1,36,-51916.3,78596
26,1,37,-51984.2,78595.7
27,1,38,-52054.6,78596.1
28,1,39,-52128.1,78596.6
29,1,40,-52194.6,78597.4
30,1,42,-52338.8,78595.2
31,1,44,-52476,78594.9
32,1,46,-52618.3,78597.1
33,1,48,-52755.7,78598.2
34,1,50,-52895.5,78596
35,1,52,-53035.4,78595.7
36,1,54,-53176,78597.1
37,1,55,-53244.2,78595.1
38,1,56,-53311.2,78595.5
39,1,57,-53765.7,78596.9
40,1,58,-53834.4,78598.2
41,1,59,-53903.8,78596.3
42,1,60,-53970.6,78594.9
43,1,62,-54105.5,78595.7
44,1,63,-54174.5,78597.7
45,1,64,-54245.3,78595.9
46,1,66,-54381.6,78595.7
47,1,67,-54448.6,78593.2
48,1,69,-54584.3,78595.8
49,1,71,-54720.7,78594.7
50,1,72,-54791.8,78595.7
51,1,73,-54861.8,78595.1
52,1,74,-54927,78595.5
53,1,75,-54994.7,78596.2
54,1,77,-55132.5,78595.6
55,1,78,-55199.7,78596.9
56,1,79,-55269.3,78596.7
57,1,80,-55335.8,78594.2
58,1,81,-55404.4,78596
59,1,82,-55472.2,78595.7
60,1,83,-55541.5,78595.6
61,1,84,-55609.3,78594.1
62,1,85,-55677,78595.5
63,1,86,-55743.6,78596
64,1,87,-55814,78595.1
